# ID,pl_name,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_radj,pl_radjerr1,pl_radjerr2,st_rad,st_raderr1,st_raderr2,pl_tranflag,ra,dec,st_elon,st_elat,pl_orbper
 181,        "HD 73267 b",2.1979999542e+00,2.5000000373e-02,2.5000000373e-02,2.5600001216e-01,8.9999996126e-03,8.9999996126e-03,2.2910000610e+02,1.7999999523e+00,1.7999999523e+00,1.1634361046e+00,2.2087173881e-01,1.7740070913e-01,1.0399999619e+00,5.1999998093e-01,5.1999998093e-01,0,1.2907406616e+02,-3.4459980011e+01,1.4512603760e+02,-5.0692508698e+01,1.2600000000e+03
 182,        "HD 73526 b",6.4999997616e-01,9.9999997765e-03,9.9999997765e-03,1.8999999762e-01,5.0000000745e-02,5.0000000745e-02,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.1751550605e+00,2.2393100554e-01,1.8647555404e-01,1.5299999714e+00,2.9999999329e-02,2.9999999329e-02,0,1.2931867981e+02,-4.1319103241e+01,1.5038970947e+02,-5.6813270569e+01,1.8830000305e+02
 183,        "HD 73534 b",3.0199999809e+00,7.9999998212e-02,7.9999998212e-02,7.0000000298e-02,7.0000000298e-02,7.0000000298e-02,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.2029537174e+00,2.2414004430e-01,1.9474461806e-01,2.6300001144e+00,7.0000000298e-02,7.0000000298e-02,0,1.2981584167e+02,1.2960375786e+01,1.2880462646e+02,-5.2776160240e+00,1.7700000000e+03
 184,        "HD 74156 b",2.9199999571e-01,4.0000001900e-03,4.0000001900e-03,6.2699997425e-01,8.9999996126e-03,8.9999996126e-03,1.7650000000e+02,1.2000000477e+00,1.2000000477e+00,1.1965553633e+00,2.1393475860e-01,1.9413671106e-01,1.0979728772e+00,2.8939755432e-02,2.8939755432e-02,0,1.3060467529e+02,4.5780968666e+00,1.3178045654e+02,-1.3167856216e+01,5.1645000458e+01
 185,        "HD 74156 c",3.8499999046e+00,5.4000001401e-02,5.4000001401e-02,4.3200001121e-01,1.3000000268e-02,1.3000000268e-02,2.5860000610e+02,2.7000000477e+00,2.7000000477e+00,1.1226994559e+00,1.9700859018e-01,1.7380766303e-01,1.0978003342e+00,2.8933380843e-02,2.8933380843e-02,0,1.3060467529e+02,4.5780968666e+00,1.3178045654e+02,-1.3167856216e+01,2.4730000000e+03
 186,        "HD 75784 b",6.4600000381e+00,2.9200000763e+00,2.9200000763e+00,3.6000001431e-01,1.5999999642e-01,1.5999999642e-01,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.1384336526e+00,2.0205878301e-01,1.6318204115e-01,3.1700000763e+00,1.8000000715e-01,1.8000000715e-01,0,1.3309974670e+02,1.3233432770e+01,1.3182759094e+02,-4.1691670418e+00,5.0400000000e+03
 187,        "HD 75898 b",1.1900000572e+00,3.9999999106e-02,3.9999999106e-02,1.0000000149e-01,5.0000000745e-02,5.0000000745e-02,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.1670886189e+00,2.2178741177e-01,1.8011863725e-01,1.5499999523e+00,3.9999999106e-02,3.9999999106e-02,0,1.3346168518e+02,3.3056812286e+01,1.2664138031e+02,1.4979535103e+01,4.1820001221e+02
 188,        "HD 77338 b",5.9999998659e-02,5.9999998659e-03,5.9999998659e-03,9.0000003576e-02,2.1999999881e-01,2.1999999881e-01,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,3.9015838251e-01,1.8150830604e-01,1.2875120290e-01,9.7000002861e-01,1.9999999553e-02,1.9999999553e-02,0,1.3530206299e+02,-2.5527061462e+01,1.4735560608e+02,-4.0379653931e+01,5.7361001968e+00
 189,        "HD 79498 b",3.1300001144e+00,7.9999998212e-02,7.9999998212e-02,5.8999997377e-01,1.9999999553e-02,1.9999999553e-02,2.2100000000e+02,6.0000000000e+00,6.0000000000e+00,1.2103231911e+00,1.9680669223e-01,1.8819700524e-01,1.1227361079e+00,1.6684278676e-01,1.6684278676e-01,0,1.3878916931e+02,2.3375549316e+01,1.3409649658e+02,7.0917167664e+00,1.9660999756e+03
 190,        "HD 81040 b",1.9400000572e+00,2.9999999329e-02,2.9999999329e-02,5.2999997139e-01,3.9999999106e-02,3.9999999106e-02,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.1157028698e+00,2.2179926664e-01,1.7911832728e-01,9.1000002623e-01,9.9999997765e-03,9.9999997765e-03,0,1.4094619751e+02,2.0364454269e+01,1.3693843079e+02,4.8369121552e+00,1.0017000122e+03
